totalPages;currentPage;pageSize;nextResourceURI;band;isGuestUser;dot11Status;macAddress;currentlyTracked;confidenceFactor;historyLogReason;ipAddress;ssId;apMacAddress;mapHierarchyString;floorRefId;length;width;height;offsetX;offsetY;unit;imageName;x;y;unit2;currentServerTime;firstLocatedTime;lastLocatedTime;latitude;longitude;unit3
2416;1;5000;https://10.30.5.17/api/contextaware/v1/location/history/clients/?page=2&pageSize=5000;UNKNOWN;FALS;UNKNOWN;40:f3:08:ef:56:fb;CERT;216;SIGNIFICANT_MOVEMENT;;;;WiFi Public - Andorra Telecom>Andorra La Vella>Andorra La Vella;-4.56432E+18;4795.434;3783.4788;321.84094;0;0;FEET;domain_5_1490020184435.jpg;3099.36;2011.24;FEET;2017-07-21T10:48:33.975+0200;2017-06-26T10:22:54.437+0200;2017-06-26T11:03:28.880+0200;;;
2416;1;5000;https://10.30.5.17/api/contextaware/v1/location/history/clients/?page=2&pageSize=5000;UNKNOWN;FALS;UNKNOWN;dc:41:5f:99:17:37;CERT;256;SIGNIFICANT_MOVEMENT;;;;WiFi Public - Andorra Telecom>Andorra La Vella>Andorra La Vella;-4.56432E+18;4795.434;3783.4788;321.84094;0;0;FEET;domain_5_1490020184435.jpg;2997.27;2027.56;FEET;2017-07-21T10:48:33.975+0200;2017-06-26T10:46:01.480+0200;2017-06-26T11:03:36.968+0200;;;
2416;1;5000;https://10.30.5.17/api/contextaware/v1/location/history/clients/?page=2&pageSize=5000;UNKNOWN;FALS;PROBING;7c:0b:c6:95:cd:c9;CERT;264;SIGNIFICANT_MOVEMENT;;;;WiFi Public - Andorra Telecom>Andorra La Vella>Andorra La Vella;-4.56432E+18;4795.434;3783.4788;321.84094;0;0;FEET;domain_5_1490020184435.jpg;567.91;2448.23;FEET;2017-07-21T10:48:33.975+0200;2017-06-26T10:41:23.730+0200;2017-06-26T11:03:10.737+0200;;;
2416;1;5000;https://10.30.5.17/api/contextaware/v1/location/history/clients/?page=2&pageSize=5000;UNKNOWN;FALS;PROBING;88:83:22:4b:10:7c;CERT;920;FLOOR_CHANGE;;;;WiFi Public - Andorra Telecom>Andorra La Vella>Andorra La Vella;-4.56432E+18;4795.434;3783.4788;321.84094;0;0;FEET;domain_5_1490020184435.jpg;3547.88;1887.35;FEET;2017-07-21T10:48:33.975+0200;2017-06-26T11:01:56.241+0200;2017-06-26T11:01:56.241+0200;;;
2416;1;5000;https://10.30.5.17/api/contextaware/v1/location/history/clients/?page=2&pageSize=5000;UNKNOWN;FALS;PROBING;d8:3c:69:dc:2d:d4;CERT;712;SIGNIFICANT_MOVEMENT;;;;WiFi Public - Andorra Telecom>Andorra La Vella>Andorra La Vella;-4.56432E+18;4795.434;3783.4788;321.84094;0;0;FEET;domain_5_1490020184435.jpg;1357.84;2127.99;FEET;2017-07-21T10:48:33.975+0200;2017-06-26T11:01:07.877+0200;2017-06-26T11:03:28.890+0200;;;
2416;1;5000;https://10.30.5.17/api/contextaware/v1/location/history/clients/?page=2&pageSize=5000;UNKNOWN;FALS;UNKNOWN;30:5a:3a:d4:72:76;CERT;320;SIGNIFICANT_MOVEMENT;;;;WiFi Public - Andorra Telecom>Andorra La Vella>Andorra La Vella;-4.56432E+18;4795.434;3783.4788;321.84094;0;0;FEET;domain_5_1490020184435.jpg;2657.06;1975.04;FEET;2017-07-21T10:48:33.975+0200;2017-06-26T10:52:30.283+0200;2017-06-26T11:00:57.775+0200;;;
2416;1;5000;https://10.30.5.17/api/contextaware/v1/location/history/clients/?page=2&pageSize=5000;UNKNOWN;FALS;PROBING;30:f7:c5:73:0e:35;CERT;520;SIGNIFICANT_MOVEMENT;;;;WiFi Public - Andorra Telecom>Andorra La Vella>Andorra La Vella;-4.56432E+18;4795.434;3783.4788;321.84094;0;0;FEET;domain_5_1490020184435.jpg;2634.28;1833.54;FEET;2017-07-21T10:48:33.975+0200;2017-06-26T10:57:46.518+0200;2017-06-26T11:00:17.565+0200;;;
2416;1;5000;https://10.30.5.17/api/contextaware/v1/location/history/clients/?page=2&pageSize=5000;UNKNOWN;FALS;ASSOCIATED;34:8a:7b:5b:97:68;CERT;752;SIGNIFICANT_MOVEMENT;;Andorra wifi;dc:a5:f4:04:34:40;WiFi Public - Andorra Telecom>Andorra La Vella>Andorra La Vella;-4.56432E+18;4795.434;3783.4788;321.84094;0;0;FEET;domain_5_1490020184435.jpg;3421.58;1949.57;FEET;2017-07-21T10:48:33.975+0200;2017-06-26T10:32:01.937+0200;2017-06-26T11:00:59.796+0200;;;
2416;1;5000;https://10.30.5.17/api/contextaware/v1/location/history/clients/?page=2&pageSize=5000;UNKNOWN;FALS;PROBING;34:fc:ef:ea:b7:a9;CERT;488;SIGNIFICANT_MOVEMENT;;;;WiFi Public - Andorra Telecom>Andorra La Vella>Andorra La Vella;-4.56432E+18;4795.434;3783.4788;321.84094;0;0;FEET;domain_5_1490020184435.jpg;3153.63;2023.55;FEET;2017-07-21T10:48:33.975+0200;2017-06-26T10:57:50.551+0200;2017-06-26T11:00:41.690+0200;;;
2416;1;5000;https://10.30.5.17/api/contextaware/v1/location/history/clients/?page=2&pageSize=5000;UNKNOWN;FALS;ASSOCIATED;ec:9b:f3:1a:43:6a;CERT;576;SIGNIFICANT_MOVEMENT;;Andorra wifi;dc:a5:f4:04:34:40;WiFi Public - Andorra Telecom>Andorra La Vella>Andorra La Vella;-4.56432E+18;4795.434;3783.4788;321.84094;0;0;FEET;domain_5_1490020184435.jpg;2831.26;2007.45;FEET;2017-07-21T10:48:33.975+0200;2017-06-26T10:51:59.981+0200;2017-06-26T11:00:55.732+0200;;;
